#Parameters = {Er=4.4; IE=60; P1=0; P2=-49.398; P3=177.553; P4=36.514; PAA_FA_EXCITELIST=1; PAA_FA_FREQ=2.25; PAA_FA_SCANPHI=0; PAA_FA_SCANTHETA=0; PAA_UC_ANGLE=90; PAA_UC_DS1=60; PAA_UC_DS2=80; PAA_UC_PHI=0; PAA_UC_THETA=0; antx=41; anty=30.2; dumy=0; insx=1.5; insy=8; sbh=1.2; sbx=80; sby=80; trx=2.98}
#"Theta / deg"	"Gain,Phi=0.0 (502) []"
#-------------------------------------
142.00000000000	-11.745327305194
143.00000000000	-11.756648485826
144.00000000000	-11.781569392934
145.00000000000	-11.820891340290
146.00000000000	-11.875338225196
147.00000000000	-11.945581880822
148.00000000000	-12.032046097596
149.00000000000	-12.135167486310
150.00000000000	-12.255158227314
151.00000000000	-12.392021620931
152.00000000000	-12.545502656014
153.00000000000	-12.715027719397
154.00000000000	-12.899632669931
155.00000000000	-13.097879600144
156.00000000000	-13.307764616104
157.00000000000	-13.526622261610
158.00000000000	-13.751037138141
159.00000000000	-13.976779901392
160.00000000000	-14.198792539932
161.00000000000	-14.411254790393
162.00000000000	-14.607766071590
163.00000000000	-14.781670166238
164.00000000000	-14.926369370338
165.00000000000	-15.036520108880
166.00000000000	-15.107786075397
167.00000000000	-15.137931202471
168.00000000000	-15.127029712641
169.00000000000	-15.077516048508
170.00000000000	-14.993933809178
171.00000000000	-14.882449631337
172.00000000000	-14.750248398666
173.00000000000	-14.604932754302
174.00000000000	-14.454019666831
175.00000000000	-14.304580686033
176.00000000000	-14.163030682729
177.00000000000	-14.035042947011
178.00000000000	-13.925557442966
179.00000000000	-13.838849324799
180.00000000000	-13.778331630839
#Parameters = {Er=4.4; IE=60; P1=0; P2=-179.864; P3=53.508; P4=-73.339; PAA_FA_EXCITELIST=1; PAA_FA_FREQ=2.25; PAA_FA_SCANPHI=0; PAA_FA_SCANTHETA=0; PAA_UC_ANGLE=90; PAA_UC_DS1=60; PAA_UC_DS2=80; PAA_UC_PHI=0; PAA_UC_THETA=0; antx=41; anty=30.2; dumy=0; insx=1.5; insy=8; sbh=1.2; sbx=80; sby=80; trx=2.98}
