#Parameters = {Er=4.4; IE=60; P1=0; P2=167.923; P3=-130.636; P4=17.382; PAA_FA_EXCITELIST=1; PAA_FA_FREQ=2.25; PAA_FA_SCANPHI=0; PAA_FA_SCANTHETA=0; PAA_UC_ANGLE=90; PAA_UC_DS1=60; PAA_UC_DS2=80; PAA_UC_PHI=0; PAA_UC_THETA=0; antx=41; anty=30.2; dumy=0; insx=1.5; insy=8; sbh=1.2; sbx=80; sby=80; trx=2.98}
#"Theta / deg"	"Gain,Phi=0.0 (1) []"
#-----------------------------------
-121.00000000000	-14.235692519490
-120.00000000000	-14.341629201420
-119.00000000000	-14.453463429546
-118.00000000000	-14.571295079468
-117.00000000000	-14.695166381917
-116.00000000000	-14.825062309409
-115.00000000000	-14.960911294261
-114.00000000000	-15.102586180180
-113.00000000000	-15.249905341554
-112.00000000000	-15.402633935791
-111.00000000000	-15.560485284161
-110.00000000000	-15.723122405360
-109.00000000000	-15.890159753289
-108.00000000000	-16.061165236112
-107.00000000000	-16.235662617178
-106.00000000000	-16.413134419283
-105.00000000000	-16.593025471220
-104.00000000000	-16.774747248379
-103.00000000000	-16.957683165950
-102.00000000000	-17.141194982409
-101.00000000000	-17.324630460706
-100.00000000000	-17.507332413434
-99.000000000000	-17.688649225128
-98.000000000000	-17.867946899573
-97.000000000000	-18.044622623389
-96.000000000000	-18.218119771902
-95.000000000000	-18.387944213564
-94.000000000000	-18.553681701059
-93.000000000000	-18.715016078458
-92.000000000000	-18.871747992896
-91.000000000000	-19.023813785072
-90.000000000000	-19.171304253250
-89.000000000000	-19.314522900448
-88.000000000000	-19.453844693007
-87.000000000000	-19.589971518796
-86.000000000000	-19.723791046600
-85.000000000000	-19.856433322641
-84.000000000000	-19.989288760858
-83.000000000000	-20.124027903247
-82.000000000000	-20.262624243427
-81.000000000000	-20.407381770994
-80.000000000000	-20.560969316938
-79.000000000000	-20.726464284466
-78.000000000000	-20.907408960162
-77.000000000000	-21.107883332627
-76.000000000000	-21.332599172053
-75.000000000000	-21.587020896974
-74.000000000000	-21.877519014254
-73.000000000000	-22.211560424637
-72.000000000000	-22.597933444066
-71.000000000000	-23.046985860013
-70.000000000000	-23.570800835431
-69.000000000000	-24.183093593110
-68.000000000000	-24.898238092975
-67.000000000000	-25.727851970642
-66.000000000000	-26.670871859338
